Mother Group	Child Goup	Publication Year	Author	Title	Url	Abstract Note	Source code	Source code URL	Data Set Name 1	Data Set URL1	Data Set Nmae 2	Data Set URL 2	Data Set Name 3	Data Set URL 3	Demo	Demo URL	Demo 2	Demo 2 URL
Music Generation and Synthesis	Synthesis	2019	Engel, Jesse; Agrawal, Kumar Krishna; Chen, Shuo; Gulrajani, Ishaan; Donahue, Chris; Roberts, Adam	GANSYNTH: ADVERSARIAL NEURAL AUDIO SYNTHESIS	https://arxiv.org/abs/1902.08710	Efficient audio synthesis is an inherently difficult machine learning task, as human perception is sensitive to both global structure and fine-scale waveform coherence. Autoregressive models, such as WaveNet, model local structure but have slow iterative sampling and lack global latent structure. In contrast, Generative Adversarial Networks (GANs) have global latent conditioning and efficient parallel sampling, but struggle to generate locally-coherent audio waveforms. Herein, we demonstrate that GANs can in fact generate high-fidelity and locally-coherent audio by modeling log magnitudes and instantaneous frequencies with sufficient frequency resolution in the spectral domain. Through extensive empirical investigations on the NSynth dataset, we demonstrate that GANs are able to outperform strong WaveNet baselines on automated and human evaluation metrics, and efficiently generate audio several orders of magnitude faster than their autoregressive counterparts.	Source Code	https://github.com/tensorflow/magenta/tree/master/magenta/models/gansynth	The NSynth Dataset	https://magenta.tensorflow.org/datasets/nsynth					Demo	https://colab.research.google.com/notebooks/magenta/gansynth/gansynth_demo.ipynb	Demo	https://storage.googleapis.com/magentadata/papers/gansynth/index.html
Intelligent Music Production	Text Book	2019	Brecht De Man, Ryan Stables, Joshua D. Reiss	Intelligent Music Production	https://www.crcpress.com/Intelligent-Music-Production/Man-Stables-Reiss/p/book/9781138055193													
Text Book	Text Book	2019	Brecht De Man, Ryan Stables, Joshua D. Reiss	Intelligent Music Production	https://www.crcpress.com/Intelligent-Music-Production/Man-Stables-Reiss/p/book/9781138055193													
Sound Source Separation	Music Audio Source Separation	2019	Schulze, Sören; King, Emily J.	Sparse Pursuit and Dictionary Learning for Blind Source Separation in Polyphonic Music Recordings	http://arxiv.org/abs/1806.00273	We propose a novel method for the blind separation of single-channel audio signals produced by the mixed sounds of musical instruments. While the approach of applying non-negative matrix factorization (NMF) has been studied in many papers, it does not make use of the pitch-invariance that the sounds of many instruments exhibit. This limitation can be overcome by using tensor factorization, in which context the use of log-frequency spectrograms was initiated, but this still requires the specific tuning of the instruments to be hard-coded into the algorithm. We develop a general-purpose sparse pursuit method that matches a discrete spectrum with given shifted continuous patterns. We first use it in order to transform our audio signal into a log-frequency spectrogram that shares properties with the mel spectrogram but is applicable to a wider frequency range. Then, we use the same algorithm to identify patterns from instrument sounds in the spectrogram. The relative amplitudes of the harmonics are saved in a dictionary, which is trained via a modified version of Adam. For a realistic monaural piece with acoustic recorder and violin, we achieve qualitatively good separation with a signal-to-distortion ratio (SDR) of 13.7 dB, a signal-to-interference ratio (SIR) of 28.1 dB, and a signal-to-artifacts ratio (SAR) of 13.9 dB, averaged over the instruments.	Source Code	https://github.com/rgcda/Musisep							Demo	https://www.math.colostate.edu/~king/software.html#Musisep		
Audio Drama	Audio Drama	2019	Chourdakis, Emmanouil Theofanis; Ward, Lauren; Paradis, Matthew; Reiss, Joshua D	MODELLING EXPERTS’ DECISIONS ON ASSIGNING NARRATIVE IMPORTANCES OF OBJECTS IN A RADIO DRAMA MIX	https://www.researchgate.net/publication/335988097_MODELLING_EXPERTS'_DECISIONS_ON_ASSIGNING_NARRATIVE_IMPORTANCES_OF_OBJECTS_IN_A_RADIO_DRAMA_MIX	There is an increasing number of consumers of broadcast audio who suffer from a degree of hearing impairment. One of the meth- ods developed for tackling this issue consists of creating customiz- able object-based audio mixes where users can attenuate parts of the mix using a simple complexity parameter. The method relies on the mixing engineer classifying audio objects in the mix ac- cording to their narrative importance. This paper focuses on automating this process. Individual tracks are classified based on their music, speech, or sound effect content. Then the decisions for assigning narrative importance to each segment of a radio drama mix are modelled using mixture distributions. Finally, the learned decisions and resultant mixes are evaluated using the Short Term Objective Intelligibility, with ref- erence to the narrative importance selections made by the original producer. This approach has applications for providing customiz- able mixes for legacy content, or automatically generated media content where the engineer is not able to intervene.	Source Code	https://github.com/bbc/audio-dafx2019-automatic/	GTZAN Genre Collection	http://marsyas.info/downloads/datasets.html	BBC sound effects	http://bbcsfx.acropolis.org.uk/						
Music Generation and Synthesis	Generation	2018	Roberts, Adam; Engel, Jesse; Raffel, Colin; Hawthorne, Curtis; Eck, Douglas	A Hierarchical Latent Vector Model for Learning Long-Term Structure in Music	http://arxiv.org/abs/1803.05428	"The Variational Autoencoder (VAE) has proven to be an effective model for producing semantically meaningful latent representations for natural data. However, it has thus far seen limited application to sequential data, and, as we demonstrate, existing recurrent VAE models have difficulty modeling sequences with long-term structure. To address this issue, we propose the use of a hierarchical decoder, which first outputs embeddings for subsequences of the input and then uses these embeddings to generate each subsequence independently. This structure encourages the model to utilize its latent code, thereby avoiding the ""posterior collapse"" problem which remains an issue for recurrent VAEs. We apply this architecture to modeling sequences of musical notes and find that it exhibits dramatically better sampling, interpolation, and reconstruction performance than a ""flat"" baseline model. An implementation of our ""MusicVAE"" is available online at http://g.co/magenta/musicvae-code."	Source Code	https://github.com/tensorflow/magenta/tree/master/magenta/models/music_vae	Lakh MIDI Dataset	https://colinraffel.com/projects/lmd/					Demo	https://storage.googleapis.com/magentadata/papers/musicvae/index.html		
Music Generation and Synthesis	Translation	2018	Mor, Noam; Wolf, Lior; Polyak, Adam; Taigman, Yaniv	A Universal Music Translation Network	http://arxiv.org/abs/1805.07848	We present a method for translating music across musical instruments, genres, and styles. This method is based on a multi-domain wavenet autoencoder, with a shared encoder and a disentangled latent space that is trained end-to-end on waveforms. Employing a diverse training dataset and large net capacity, the domain-independent encoder allows us to translate even from musical domains that were not seen during training. The method is unsupervised and does not rely on supervision in the form of matched samples between domains or musical transcriptions. We evaluate our method on NSynth, as well as on a dataset collected from professional musicians, and achieve convincing translations, even when translating from whistling, potentially enabling the creation of instrumental music by untrained humans.			The NSynth Dataset	https://magenta.tensorflow.org/datasets/nsynth					Demo	https://www.youtube.com/watch?v=vdxCqNWTpUs&feature=youtu.be		
Sound Correction	Clipping	2018	Rencker, Lucas; Bach, Francis; Wang, Wenwu; Plumbley, Mark D.	Consistent Dictionary Learning for Signal Declipping	http://epubs.surrey.ac.uk/846156/1/Consistent_DL_for_signal_declipping.pdf	Clipping, or saturation, is a common nonlinear distortion in signal processing. Recently, declipping techniques have been proposed based on sparse decomposition of the clipped signals on a ﬁxed dictionary, with additional constraints on the amplitude of the clipped samples. Here we propose a dictionary learning approach, where the dictionary is directly learned from the clipped measurements. We propose a softconsistency metric that minimizes the distance to a convex feasibility set, and takes into account our knowledge about the clipping process. We then propose a gradient descent-based dictionary learning algorithm that minimizes the proposed metric, and is thus consistent with the clipping measurement. Experiments show that the proposed algorithm outperforms other dictionary learning algorithms applied to clipped signals. We also show that learning the dictionary directly from the clipped signals outperforms consistent sparse coding with a ﬁxed dictionary.	Source Code	https://www.cvssp.org/Persol/LucasRencker/software.html							Demo	https://www.cvssp.org/Persol/LucasRencker/software.html		
Sound Source Separation	Speech Sound Separation	2018	Mobin, Shariq; Cheung, Brian; Olshausen, Bruno	CONVOLUTIONAL VS. RECURRENT NEURAL NET- WORKS FOR AUDIO SOURCE SEPARATION	https://openreview.net/forum?id=SkKnhFJPG	We propose a convolutional neural network as an alternative to recurrent neural networks for separating out individual speakers in a sound mixture. Our results achieve state-of-the-art results with an order of magnitude fewer parameters. We also characterize the robustness of both models to generalize to three different testing conditions including a novel dataset. We create a new dataset RealTalkLibri which evaluates how well source separation models generalize to real world mixtures. Our results indicate the acoustics of the environment have signiﬁcant impact on the performance of all neural network models, with the convolutional model showing superior ability to generalize to new environments.			CSR-I (WSJ0) Complete	https://catalog.ldc.upenn.edu/LDC93S6A	RealTalkLibri	https://www.dropbox.com/s/4pscejhkqdr8xrk/rtl.tar.gz?dl=0						
Intelligent Music Production	Equalization	2018	Campos, Guilherme; Fonseca, Nuno; Ferreira, Anibal; Davies, Matthew	END-TO-END EQUALIZATION WITH CONVOLUTIONAL NEURAL NETWORKS	http://dafx2018.web.ua.pt/papers/DAFx2018_paper_27.pdf	This work aims to implement a novel deep learning architecture to perform audio processing in the context of matched equalization. Most existing methods for automatic and matched equalization show effective performance and their goal is to ﬁnd a respective transfer function given a frequency response. Nevertheless, these procedures require a prior knowledge of the type of ﬁlters to be modeled. In addition, ﬁxed ﬁlter bank architectures are required in automatic mixing contexts. Based on end-to-end convolutional neural networks, we introduce a general purpose architecture for equalization matching. Thus, by using an end-toend learning approach, the model approximates the equalization target as a content-based transformation without directly ﬁnding the transfer function. The network learns how to process the audio directly in order to match the equalized target audio. We train the network through unsupervised and supervised learning procedures. We analyze what the model is actually learning and how the given task is accomplished. We show the model performing matched equalization for shelving, peaking, lowpass and highpass IIR and FIR equalizers.			Salamander Grand Piano V3 dataset	https://musical-artifacts.com/artifacts/3								
Intelligent Music Production	General Mixing	2018	Ramirez, Marco A. Martínez; Reiss, Joshua D.	Modeling of nonlinear audio effects with end-to-end deep neural networks	http://arxiv.org/abs/1810.06603	In the context of music production, distortion effects are mainly used for aesthetic reasons and are usually applied to electric musical instruments. Most existing methods for nonlinear modeling are often either simpliﬁed or optimized to a very speciﬁc circuit. In this work, we investigate deep learning architectures for audio processing and we aim to ﬁnd a general purpose end-to-end deep neural network to perform modeling of nonlinear audio effects. We show the network modeling various nonlinearities and we discuss the generalization capabilities among different instruments.			IDMT-SMT-AudioEffects dataset	https://www.idmt.fraunhofer.de/en/business_units/m2d/smt/audio_effects.html					Demo	https://github.com/mchijmma/modeling-nonlinear		
Music Generation and Synthesis	Translation	2018	Huang, Cheng-Zhi Anna; Vaswani, Ashish; Uszkoreit, Jakob; Shazeer, Noam; Simon, Ian; Hawthorne, Curtis; Dai, Andrew M.; Hoffman, Matthew D.; Dinculescu, Monica; Eck, Douglas	Music Transformer	http://arxiv.org/abs/1809.04281	Music relies heavily on repetition to build structure and meaning. Self-reference occurs on multiple timescales, from motifs to phrases to reusing of entire sections of music, such as in pieces with ABA structure. The Transformer (Vaswani et al., 2017), a sequence model based on self-attention, has achieved compelling results in many generation tasks that require maintaining long-range coherence. This suggests that self-attention might also be well-suited to modeling music. In musical composition and performance, however, relative timing is critically important. Existing approaches for representing relative positional information in the Transformer modulate attention based on pairwise distance (Shaw et al., 2018). This is impractical for long sequences such as musical compositions since their memory complexity for intermediate relative information is quadratic in the sequence length. We propose an algorithm that reduces their intermediate memory requirement to linear in the sequence length. This enables us to demonstrate that a Transformer with our modiﬁed relative attention mechanism can generate minutelong compositions (thousands of steps, four times the length modeled in Oore et al. (2018)) with compelling structure, generate continuations that coherently elaborate on a given motif, and in a seq2seq setup generate accompaniments conditioned on melodies1. We evaluate the Transformer with our relative attention mechanism on two datasets, JSB Chorales and Piano-e-Competition, and obtain state-of-the-art results on the latter.			J.S. Bach chorales dataset	https://github.com/czhuang/JSB-Chorales-dataset	Piano-e-Competition dataset	http://www.piano-e-competition.com/			Demo	https://storage.googleapis.com/music-transformer/index.html		
Sound Source Separation	Singing Voice Separation	2018	Grais, Emad M.; Ward, Dominic; Plumbley, Mark D.	Raw Multi-Channel Audio Source Separation using Multi-Resolution Convolutional Auto-Encoders	http://arxiv.org/abs/1803.00702	Supervised multi-channel audio source separation requires extracting useful spectral, temporal, and spatial features from the mixed signals. The success of many existing systems is therefore largely dependent on the choice of features used for training. In this work, we introduce a novel multi-channel, multiresolution convolutional auto-encoder neural network that works on raw time-domain signals to determine appropriate multiresolution features for separating the singing-voice from stereo music. Our experimental results show that the proposed method can achieve multi-channel audio source separation without the need for hand-crafted features or any pre- or post-processing.	Source Code	https://cvssp.github.io/maruss-website/publications/Grais_2018.html	SiSEC-2016-MUS-task dataset	https://sisec.inria.fr/sisec-2016/								
Sound Correction	Clipping	2018	Záviška, Pavel; Rajmic, Pavel; Průša, Zdeněk; Veselý, Vítězslav	Revisiting Synthesis Model of Sparse Audio Declipper	http://arxiv.org/abs/1807.03612	The state of the art in audio declipping has currently been achieved by SPADE (SParse Audio DEclipper) algorithm by Kiti´c et al. Until now, the synthesis/sparse variant, S-SPADE, has been considered signiﬁcantly slower than its analysis/cosparse counterpart, A-SPADE. It turns out that the opposite is true: by exploiting a recent projection lemma, individual iterations of both algorithms can be made equally computationally expensive, while S-SPADE tends to require considerably fewer iterations to converge. In this paper, the two algorithms are compared across a range of parameters such as the window length, window overlap and redundancy of the transform. The experiments show that although S-SPADE typically converges faster, the average performance in terms of restoration quality is not superior to A-SPADE.	http://www.utko.feec.vutbr.cz/~rajmic/software/aspade_vs_sspade.zip											
Music Generation and Synthesis	Generation	2018	Dieleman, Sander	The challenge of realistic music generation: modelling raw audio at scale	https://arxiv.org/abs/1806.10474	Realistic music generation is a challenging task. When building generative models of music that are learnt from data, typically high-level representations such as scores or MIDI are used that abstract away the idiosyncrasies of a particular performance. But these nuances are very important for our perception of musicality and realism, so in this work we embark on modelling music in the raw audio domain. It has been shown that autoregressive models excel at generating raw audio waveforms of speech, but when applied to music, we ﬁnd them biased towards capturing local signal structure at the expense of modelling long-range correlations. This is problematic because music exhibits structure at many different timescales. In this work, we explore autoregressive discrete autoencoders (ADAs) as a means to enable autoregressive models to capture long-range correlations in waveforms. We ﬁnd that they allow us to unconditionally generate piano music directly in the raw audio domain, which shows stylistic consistency across tens of seconds.			solo piano music	https://bit.ly/2IPXoDu					Demo	https://drive.google.com/drive/folders/1NY3MTkOSodz_5eCkjtoHUGYSulR25QGU		
Intelligent Music Production	General Mixing	2018	Moffat, David; Thalmann, Florian; Sandler, Mark B	Towards a Semantic Web Representation and Application of Audio Mixing Rules	https://qmro.qmul.ac.uk/xmlui/handle/123456789/59960	Existing literature has discussed the use of rule-based systems for intelligent mixing. These rules can either be explicitly deﬁned by experts, learned from existing datasets, or a mixture of both. For such mixing rules to be transferable between different systems and shared online, we propose a representation using the Rule Interchange Format (RIF) commonly used on the Semantic Web. Systems with differing capabilities can use OWL reasoning on those mixing rule sets to determine subsets which they can handle appropriately. We demonstrate this by means of an example web-based tool which uses a logical constraint solver to apply the rules in real time to sets of audio tracks annotated with features.	Source Code	https://github.com/dymic-music/dymo-core										
Sound Source Separation	Singing Voice Separation	2018	Stoller, Daniel; Ewert, Sebastian; Dixon, Simon	WAVE-U-NET: A MULTI-SCALE NEURAL NETWORK FOR END-TO-END AUDIO SOURCE SEPARATION	https://arxiv.org/abs/1806.03185	Models for audio source separation usually operate on the magnitude spectrum, which ignores phase information and makes separation performance dependant on hyperparameters for the spectral front-end. Therefore, we investigate end-to-end source separation in the time-domain, which allows modelling phase information and avoids ﬁxed spectral transformations. Due to high sampling rates for audio, employing a long temporal input context on the sample level is difﬁcult, but required for high quality separation results because of long-range temporal correlations. In this context, we propose the Wave-U-Net, an adaptation of the U-Net to the one-dimensional time domain, which repeatedly resamples feature maps to compute and combine features at different time scales. We introduce further architectural improvements, including an output layer that enforces source additivity, an upsampling technique and a context-aware prediction framework to reduce output artifacts. Experiments for singing voice separation indicate that our architecture yields a performance comparable to a stateof-the-art spectrogram-based U-Net architecture, given the same data. Finally, we reveal a problem with outliers in the currently used SDR evaluation metrics and suggest reporting rank-based statistics to alleviate this problem.	Source Code	https://github.com/f90/Wave-U-Net	MUSDB	https://sigsep.github.io/datasets/musdb.html	CCMixter database	http://dig.ccmixter.org/						
Audio Drama	Audio Drama	2018	Chourdakis, Emmanouil Theofanis; Reiss, Joshua D	From my pen to your ears: automatic production of radio plays from unstructured story text	http://www.eecs.qmul.ac.uk/~josh/documents/2018/smc_2018_018.pdf	A radio play is a form of drama which exists in the acoustic domain and is usually consumed over broadcast radio. In this paper a method is proposed that, given a story in the form of unstructured text, produces a radio play that tells this story. First, information about characters, acting lines, and environments is retrieved from the text. The information extracted serves to generate a production script which can be used either by producers of radio-drama, or subsequently used to automatically generate the radio play as an audio ﬁle. The system is evaluated in two parts: precision, recall, and f1 scores are computed for the information retrieval part while multistimulus listening tests are used for subjective evaluation of the generated audio.	Source Code	https://code.soundsoftware.ac.uk/projects/										
Intelligent Music Production	Feature	2017	Ramírez, Marco A Martínez; Reiss, Joshua D	Analysis and prediction of the audio feature space when mixing raw recordings into individual stems	http://www.aes.org/e-lib/browse.cfm?elib=19245	Processing individual stems from raw recordings is one of the ﬁrst steps of multitrack audio mixing. In this work, we explore which set of low-level audio features are sufﬁcient to design a prediction model for this transformation. We extract a large set of audio features from bass, guitar, vocal and keys raw recordings and stems. We show that a procedure based on random forests classiﬁers can lead us to reduce signiﬁcantly the number of features and we use the selected audio features to train various multi-output regression models. Thus, we investigate stem processing as a content-based transformation, where the inherent content of raw recordings leads us to predict the change of feature values that occurred within the transformation.			The open multitrack testbed	http://multitrack.eecs.qmul.ac.uk/	MedleyDB	https://medleydb.weebly.com/						
